Ensembl_gene_ID	HGNC_symbol
ENSRNOG00000070200	LOC120100384
ENSRNOG00000057923	Snora23
ENSRNOG00000058790	Fam120b
ENSRNOG00000063149	LOC120100328
ENSRNOG00000064646	Or52s6
ENSRNOG00000020371	Pgap2
ENSRNOG00000064021	Rnvu1-33
ENSRNOG00000061803	Or12j2b
ENSRNOG00000064115	LOC120100382
ENSRNOG00000014996	Katna1
ENSRNOG00000067296	LOC108348090
ENSRNOG00000064765	Snora30
ENSRNOG00000018742	Klk11
ENSRNOG00000058967	Rnu6-1168
ENSRNOG00000017914	Cavin3
ENSRNOG00000061806	LOC120100385
ENSRNOG00000014705	Rbm20
ENSRNOG00000016993	Or52d1
ENSRNOG00000055479	Rnu1-140
ENSRNOG00000029732	LOC108349792
ENSRNOG00000057436	Rnu1-18
ENSRNOG00000016812	Adamts16
ENSRNOG00000009932	Mctp2
ENSRNOG00000035046	LOC120100437
ENSRNOG00000071197	LOC120100222
ENSRNOG00000022353	Klk13
ENSRNOG00000026440	RGD1559891
ENSRNOG00000036807	RGD1562433
ENSRNOG00000020865	Ano1
ENSRNOG00000065706	LOC103693496
ENSRNOG00000058965	LOC120100458
ENSRNOG00000069287	LOC120100220
ENSRNOG00000020714	Trpm4
ENSRNOG00000015825	Aurkc
ENSRNOG00000062901	LOC120099884
ENSRNOG00000058927	LOC120100185
ENSRNOG00000031086	RGD1563931
ENSRNOG00000057950	LOC120100413
ENSRNOG00000017016	Ubqlnl
ENSRNOG00000070889	Vom1r1
ENSRNOG00000070820	LOC120100404
ENSRNOG00000014840	Gna14
ENSRNOG00000064970	Zfp939
ENSRNOG00000058110	AABR07004733.2
ENSRNOG00000057480	LOC120100278
ENSRNOG00000059637	LOC120100451
ENSRNOG00000025060	Nanos1
ENSRNOG00000030127	Eml2
ENSRNOG00000069682	Rnu6-1195
ENSRNOG00000027098	Sez6l2
ENSRNOG00000017138	Or52h1
ENSRNOG00000058367	LOC120100433
ENSRNOG00000017311	Me3
ENSRNOG00000020131	Krtap5-8
ENSRNOG00000066800	LOC120100213
ENSRNOG00000019270	P2ry6
ENSRNOG00000066986	Zfp619
ENSRNOG00000018762	Rsph3
ENSRNOG00000057414	Rnu6-982
ENSRNOG00000015956	Usp29
ENSRNOG00000018019	Hspa12a
ENSRNOG00000046036	Itprip
ENSRNOG00000051903	LOC120100210
ENSRNOG00000018541	Or55b10
ENSRNOG00000070487	LOC120100408
ENSRNOG00000015268	Plpp6
ENSRNOG00000065828	LOC120100164
ENSRNOG00000063461	LOC120100367
ENSRNOG00000064593	LOC120100465
ENSRNOG00000069644	Vom2r4
ENSRNOG00000016372	Slc12a7
ENSRNOG00000067872	LOC108348724
ENSRNOG00000057858	AABR07006025.2
ENSRNOG00000063677	LOC120100150
ENSRNOG00000060031	Snord35a
ENSRNOG00000017143	Or52h2
ENSRNOG00000058913	LOC120100412
ENSRNOG00000055560	LOC120100339
